一中街,Yizhong St.
龍安街３段,"Sec. 3, Long’an St."
龍安路,Long’an Rd.
龍成路,Longcheng Rd.
龍江街,Longjiang St.
龍江路,Longjiang Rd.
龍米路１段,"Sec. 1, Longmi Rd."
龍米路２段,"Sec. 2, Longmi Rd."
龍米路３段,"Sec. 3, Longmi Rd."
龍舟路,Longzhou Rd.
龍吟街,Longyin St.
龍形一街,Longxing 1st St.
龍形二街,Longxing 2nd St.
龍形三街,Longxing 3rd St.
龍形五街,Longxing 5th St.
龍肚街,Longdu St.
龍和一街,Longhe 1st St.
龍和二街,Longhe 2nd St.
龍和三街,Longhe 3rd St.
龍岡,Longgang
龍岡路１段,"Sec. 1, Longgang Rd."
龍岡路２段,"Sec. 2, Longgang Rd."
龍岡路３段,"Sec. 3, Longgang Rd."
龍岡路３段今日新村,"Jinrixincun, Sec. 3, Longgang Rd."
龍岩,Longyan
龍岩路,Longyan Rd.
龍岩農場,Longyan Farm
龍昌街,Longchang St.
龍昌路,Longchang Rd.
龍明街,Longming St.
龍昇街,Longsheng St.
龍昇新村,Longshengxincun
龍東八街,Longdong 8th St.
龍東十街,Longdong 10th St.
龍東十二街,Longdong 12th St.
龍東十三街,Longdong 13th St.
龍東十五街,Longdong 15th St.
龍東街,Longdong St.
龍東路,Longdong Rd.
龍東路百寧新村,"Bainingxincun, Longdong Rd."
龍東路慈光二十八村,"Ciguang 28th Vil., Longdong Rd."
龍社一街,Longshe 1st St.
龍社二街,Longshe 2nd St.
龍社六街,Longshe 6th St.
龍社七街,Longshe 7th St.
龍社八街,Longshe 8th St.
龍社路,Longshe Rd.
龍門一街,Longmen 1st St.
龍門二街,Longmen 2nd St.
龍門街,Longmen St.
龍門路,Longmen Rd.
龍門路十張仔巷,"Shizhangzai Ln., Longmen Rd."
龍門路東門巷,"Dongmen Ln., Longmen Rd."
龍青路,Longqing Rd.
龍勇路,Longyong Rd.
龍南路,Longnan Rd.
龍城二街,Longcheng 2nd St.
龍城三街,Longcheng 3rd St.
龍城五街,Longcheng 5th St.
龍城六街,Longcheng 6th St.
龍城街,Longcheng St.
龍城新村,Longchengxincun
龍城路,Longcheng Rd.
龍泉,Longquan
龍泉一街,Longquan 1st St.
龍泉二街,Longquan 2nd St.
龍泉三街,Longquan 3rd St.
龍泉五街,Longquan 5th St.
龍泉六街,Longquan 6th St.
龍泉巷,Longquan Ln.
龍泉街,Longquan St.
龍泉路,Longquan Rd.
龍洋巷,Longyang Ln.
龍洲路,Longzhou Rd.
龍津街,Longjin St.
龍洞,Longdong
龍洞街,Longdong St.
龍科街,Longke St.
龍美,Longmei
龍美街,Longmei St.
龍美路,Longmei Rd.
龍埔街,Longpu St.
龍埔路,Longpu Rd.
龍宮街,Longgong St.
龍庭大地,Longtingdadi
龍校街,Longxiao St.
龍真路,Longzhen Rd.
龍草路,Longcao Rd.
龍馬路,Longma Rd.
龍國街,Longguo St.
龍崗路,Longgang Rd.
龍涎北路,Longxian N. Rd.
龍涎路,Longxian Rd.
龍清街,Longqing St.
龍眼宅,Longyanzhai
龍眼林,Longyanlin
龍祥一路,Longxiang 1st Rd.
龍祥二路,Longxiang 2nd Rd.
龍祥三路,Longxiang 3rd Rd.
龍祥四路,Longxiang 4th Rd.
龍祥五路,Longxiang 5th Rd.
龍祥七路,Longxiang 7th Rd.
龍祥八路,Longxiang 8th Rd.
龍祥九路,Longxiang 9th Rd.
龍祥十路,Longxiang 10th Rd.
龍祥街,Longxiang St.
龍祥路,Longxiang Rd.
龍船窩,Longchuanwo
龍莊路,Longzhuang Rd.
龍陵路,Longling Rd.
龍勝路,Longsheng Rd.
龍富十路,Longfu 10th Rd.
龍富十一街,Longfu 11th St.
龍富十三街,Longfu 13th St.
龍富十六街,Longfu 16th St.
龍富十七路,Longfu 17th Rd.
龍富十八路,Longfu 18th Rd.
龍富十九街,Longfu 19th St.
龍富二十路,Longfu 20th Rd.
龍富二十一路,Longfu 21st Rd.
龍富二十二路,Longfu 22nd Rd.
龍富街,Longfu St.
龍富路３段,"Sec. 3, Longfu Rd."
龍富路４段,"Sec. 4, Longfu Rd."
龍富路５段,"Sec. 5, Longfu Rd."
龍智路,Longzhi Rd.
龍港路,Longgang Rd.
龍結,Longjie
龍善一街,Longshan 1st St.
龍善二街,Longshan 2nd St.
龍善三街,Longshan 3rd St.
龍善街,Longshan St.
龍善路,Longshan Rd.
龍翔街,Longxiang St.
龍華二街,Longhua 2nd St.
龍華北街,Longhua N. St.
龍華西路,Longhua W. Rd.
龍華南街,Longhua S. St.
龍華街,Longhua St.
龍華街１段,"Sec. 1, Longhua St."
龍華路,Longhua Rd.
龍華路１段,"Sec. 1, Longhua Rd."
龍蛟潭,Longjiaotan
龍園,Longyuan
龍園一路,Longyuan 1st Rd.
龍園五路,Longyuan 5th Rd.
龍園六路,Longyuan 6th Rd.
龍園七路,Longyuan 7th Rd.
龍園八路,Longyuan 8th Rd.
龍園十路,Longyuan 10th Rd.
龍慈路,Longci Rd.
龍新街,Longxin St.
龍新新村,Longxinxincun
龍新路,Longxin Rd.
龍新路三水段,"Sec. Sanshui, Longxin Rd."
龍新路三和段,"Sec. Sanhe, Longxin Rd."
龍新路王府巷,"Wangfu Ln., Longxin Rd."
龍新路竹窩段,"Sec. Zhuwo, Longxin Rd."
龍源路,Longyuan Rd.
龍源路大平段,"Sec. Daping, Longyuan Rd."
龍源路高原段,"Sec. Gaoyuan, Longyuan Rd."
龍聖路,Longsheng Rd.
龍過脈,Longguomai
龍壽街,Longshou St.
龍壽街１段,"Sec. 1, Longshou St."
龍壽新村,Longshouxincun
龍壽路,Longshou Rd.
龍福一街,Longfu 1st St.
龍福路,Longfu Rd.
龍鳳一街,Longfeng 1st St.
龍鳳二街,Longfeng 2nd St.
龍鳳三街,Longfeng 3rd St.
龍鳳巷,Longfeng Ln.
龍鳳街,Longfeng St.
龍鳳新村,Longfengxincun
龍鳳路,Longfeng Rd.
龍德街,Longde St.
龍德路,Longde Rd.
龍德路１段,"Sec. 1, Longde Rd."
龍德路２段,"Sec. 2, Longde Rd."
龍潭,Longtan
龍潭北路,Longtan N. Rd.
龍潭南路,Longtan S. Rd.
龍潭街,Longtan St.
龍潭路,Longtan Rd.
龍潭路竹坑巷,"Zhukeng Ln., Longtan Rd."
龍澗,Longjian
龍橋街,Longqiao St.
龍興三莊,Longxing Sanzhuang
龍興街,Longxing St.
龍興路,Longxing Rd.
龍頭,Longtou
龍頭路,Longtou Rd.
龍濱路,Longbin Rd.
龍關新村,Longguanxincun
龍騰,Longteng
龍蘭街,Longlan St.
龍巖街,Longyan St.
龍灣巷,Longwan Ln.
龍庄街,Longzhuang St.
龍峎頂,Longlangding
龍峎寮,Longlangliao
龜子山,Guizishan
龜子港,Guizigang
龜山,Guishan
龜山一路,Guishan 1st Rd.
龜山后街,Guishanhou St.
龜山后街東華巷,"Donghua Ln., Guishanhou St."
龜山巷,Guishan Ln.
龜山路,Guishan Rd.
龜丹,Guidan
龜佛山,Guifoshan
龜庵,Gui’an
龜殼路,Guike Rd.
龜壽谷街,Guishougu St.
龜灣,Guiwan
優美街,Youmei St.
儲運路,Chuyun Rd.
儲蓄新村,Chuxuxincun
儲蓄路,Chuxu Rd.
勵行街,Lixing St.
勵志一村,Lizhi 1st Vil.
勵志一街,Lizhi 1st St.
勵志二村,Lizhi 2nd Vil.
勵志二街,Lizhi 2nd St.
勵志二路,Lizhi 2nd Rd.
勵志三街,Lizhi 3rd St.
勵志街,Lizhi St.
勵志新村,Lizhixincun
勵志路,Lizhi Rd.
嶺尾,Lingwei
嶺東南路,Lingdong S. Rd.
嶺東路,Lingdong Rd.
嶺頂,Lingding
嶺頂巷,Lingding Ln.
嶺腳坑,Lingjiaokeng
嶺腳路,Lingjiao Rd.
嶺腳寮,Lingjiaoliao
嶺興路,Lingxing Rd.
嶺頭,Lingtou
彌陀街,Mituo St.
彌陀路,Mituo Rd.
應化街,Yinghua St.
應化街登山道,"Dengshandao, Yinghua St."
應安街,Ying’an St.
應安路,Ying’an Rd.
應昇路,Yingsheng Rd.
應菜埔,Yingcaipu
應菜龍,Yingcailong
懇親路,Kenqin Rd.
擎天一村,Qingtian 1st Vil.
曙光街,Shuguang St.
檜木巷,Kuaimu Ln.
濱一路,Bin 1st Rd.
濱二路,Bin 2nd Rd.
濱山街,Binshan St.
濱北街,Binbei St.
濱江街,Binjiang St.
濱河街,Binhe St.
濱南街,Binnan St.
濱南路,Binnan Rd.
濱海一路,Binhai 1st Rd.
濱海二路,Binhai 2nd Rd.
濱海路,Binhai Rd.
濱海路１段,"Sec. 1, Binhai Rd."
濱海路２段,"Sec. 2, Binhai Rd."
濱海路３段,"Sec. 3, Binhai Rd."
濱海路４段,"Sec. 4, Binhai Rd."
濱海路５段,"Sec. 5, Binhai Rd."
濱海路６段,"Sec. 6, Binhai Rd."
濱海路７段,"Sec. 7, Binhai Rd."
濱海路大潭段,"Sec. Datan, Binhai Rd."
濱海路武威段,"Sec. Wuwei, Binhai Rd."
濱海路保生段,"Sec. Baosheng, Binhai Rd."
濱海路廣興段,"Sec. Guangxing, Binhai Rd."
濱湖東路,Binhu E. Rd.
濱湖路,Binhu Rd.
濟世街,Jishi St.
濟生街,Jisheng St.
濟生路,Jisheng Rd.
濟安街,Ji’an St.
濟南街,Jinan St.
濟南路,Jinan Rd.
濟南路１段,"Sec. 1, Jinan Rd."
濟南路２段,"Sec. 2, Jinan Rd."
濟南路３段,"Sec. 3, Jinan Rd."
濟慈路,Jici Rd.
濫田仔,Lantianzai
濫坑,Lankeng
營口路,Yingkou Rd.
營子巷,Yingzi Ln.
營中路,Yingzhong Rd.
營北路,Yingbei Rd.
營安路,Ying’an Rd.
營東路,Yingdong Rd.
營前街,Yingqian St.
營後,Yinghou
營埔一街,Yingpu 1st St.
營埔二街,Yingpu 2nd St.
營埔三街,Yingpu 3rd St.
營埔巷,Yingpu Ln.
營區路,Yingqu Rd.
營頂,Yingding
營德路,Yingde Rd.
營盤,Yingpan
營盤下,Yingpanxia
營盤坑,Yingpankeng
營盤巷,Yingpan Ln.
營盤埔,Yingpanpu
營盤腳,Yingpanjiao
營盤路,Yingpan Rd.
營盤邊,Yingpanbian
營邊路,Yingbian Rd.
燦光寮,Canguangliao
燥坑,Zaokeng
燥樹排,Zaoshupai
環山街,Huanshan St.
環山路,Huanshan Rd.
環山路１段,"Sec. 1, Huanshan Rd."
環山路２段,"Sec. 2, Huanshan Rd."
環山路３段,"Sec. 3, Huanshan Rd."
環工一路,Huangong 1st Rd.
環工二路,Huangong 2nd Rd.
環工三路,Huangong 3rd Rd.
環工四路,Huangong 4th Rd.
環工五路,Huangong 5th Rd.
環工六路,Huangong 6th Rd.
環工七路,Huangong 7th Rd.
環工九路,Huangong 9th Rd.
環工路,Huangong Rd.
環中東路,Huanzhong E. Rd.
環中東路１段,"Sec. 1, Huanzhong E. Rd."
環中東路２段,"Sec. 2, Huanzhong E. Rd."
環中東路３段,"Sec. 3, Huanzhong E. Rd."
環中東路４段,"Sec. 4, Huanzhong E. Rd."
環中東路５段,"Sec. 5, Huanzhong E. Rd."
環中東路６段,"Sec. 6, Huanzhong E. Rd."
環中東路７段,"Sec. 7, Huanzhong E. Rd."
環中街,Huanzhong St.
環中路,Huanzhong Rd.
環中路１段,"Sec. 1, Huanzhong Rd."
環中路２段,"Sec. 2, Huanzhong Rd."
環中路３段,"Sec. 3, Huanzhong Rd."
環中路４段,"Sec. 4, Huanzhong Rd."
環中路５段,"Sec. 5, Huanzhong Rd."
環中路６段,"Sec. 6, Huanzhong Rd."
環中路７段,"Sec. 7, Huanzhong Rd."
環中路８段,"Sec. 8, Huanzhong Rd."
環太西路,Huantai W. Rd.
環太東路,Huantai E. Rd.
環北街,Huanbei St.
環北路,Huanbei Rd.
環北路１段,"Sec. 1, Huanbei Rd."
環北路２段,"Sec. 2, Huanbei Rd."
環北路３段,"Sec. 3, Huanbei Rd."
環北路５段,"Sec. 5, Huanbei Rd."
環市東路１段,"Sec. 1, Huanshi E. Rd."
環市東路２段,"Sec. 2, Huanshi E. Rd."
環市東路３段,"Sec. 3, Huanshi E. Rd."
環市南路,Huanshi S. Rd.
環市路,Huanshi Rd.
環市路１段,"Sec. 1, Huanshi Rd."
環市路２段,"Sec. 2, Huanshi Rd."
環市路３段,"Sec. 3, Huanshi Rd."
環西街,Huanxi St.
環西路,Huanxi Rd.
環西路１段,"Sec. 1, Huanxi Rd."
環西路２段,"Sec. 2, Huanxi Rd."
環東街,Huandong St.
環東路,Huandong Rd.
環東路１段,"Sec. 1, Huandong Rd."
環東路２段,"Sec. 2, Huandong Rd."
環河北路,Huanhe N. Rd.
環河北路１段,"Sec. 1, Huanhe N. Rd."
環河北路２段,"Sec. 2, Huanhe N. Rd."
環河北路３段,"Sec. 3, Huanhe N. Rd."
環河西路,Huanhe W. Rd.
環河西路１段,"Sec. 1, Huanhe W. Rd."
環河西路２段,"Sec. 2, Huanhe W. Rd."
環河西路３段,"Sec. 3, Huanhe W. Rd."
環河西路５段,"Sec. 5, Huanhe W. Rd."
環河東街,Huanhe E. St.
環河東路,Huanhe E. Rd.
環河東路１段,"Sec. 1, Huanhe E. Rd."
環河東路２段,"Sec. 2, Huanhe E. Rd."
環河東路３段,"Sec. 3, Huanhe E. Rd."
環河東路４段,"Sec. 4, Huanhe E. Rd."
環河南路,Huanhe S. Rd.
環河南路１段,"Sec. 1, Huanhe S. Rd."
環河南路２段,"Sec. 2, Huanhe S. Rd."
環河南路３段,"Sec. 3, Huanhe S. Rd."
環河街,Huanhe St.
環河路,Huanhe Rd.
環河路１段,"Sec. 1, Huanhe Rd."
環河路２段,"Sec. 2, Huanhe Rd."
環河路３段,"Sec. 3, Huanhe Rd."
環河路４段,"Sec. 4, Huanhe Rd."
環河路５段,"Sec. 5, Huanhe Rd."
環金路,Huanjin Rd.
環保路,Huanbao Rd.
環南街,Huannan St.
環南路,Huannan Rd.
環南路２段,"Sec. 2, Huannan Rd."
環南路３段,"Sec. 3, Huannan Rd."
環科路,Huanke Rd.
環美一街,Huanmei 1st St.
環美二街,Huanmei 2nd St.
環美三街,Huanmei 3rd St.
環美五街,Huanmei 5th St.
環美六街,Huanmei 6th St.
環美七街,Huanmei 7th St.
環美八街,Huanmei 8th St.
環美九街,Huanmei 9th St.
環美十一街,Huanmei 11th St.
環美路,Huanmei Rd.
環島北路,Huandao N. Rd.
環島北路１段,"Sec. 1, Huandao N. Rd."
環島北路２段,"Sec. 2, Huandao N. Rd."
環島北路２段東堡溝巷,"Dongbaogou Ln., Sec. 2, Huandao N. Rd."
環島北路３段,"Sec. 3, Huandao N. Rd."
環島北路４段,"Sec. 4, Huandao N. Rd."
環島西路１段,"Sec. 1, Huandao W. Rd."
環島西路２段,"Sec. 2, Huandao W. Rd."
環島東路１段,"Sec. 1, Huandao E. Rd."
環島東路２段,"Sec. 2, Huandao E. Rd."
環島東路４段,"Sec. 4, Huandao E. Rd."
環島南路,Huandao S. Rd.
環島南路１段,"Sec. 1, Huandao S. Rd."
環島南路湖前段,"Sec. Huqian, Huandao S. Rd."
環島南路塔后段,"Sec. Tahou, Huandao S. Rd."
環區一路,Huanqu 1st Rd.
環區二路,Huanqu 2nd Rd.
環區三路,Huanqu 3rd Rd.
環區四路,Huanqu 4th Rd.
環區中路,Huanqu Central Rd.
環區北路,Huanqu N. Rd.
環區西路,Huanqu W. Rd.
環區東路,Huanqu E. Rd.
環區南路,Huanqu S. Rd.
環清路,Huanqing Rd.
環球北路,Huanqiu N. Rd.
環球路,Huanqiu Rd.
環場北路中繼,"Zhongji, Huanchang N. Rd."
環堤大道,Huanti Blvd.
環堤路１段,"Sec. 1, Huanti Rd."
環港街,Huangang St.
環港路,Huangang Rd.
環湖,Huanhu
環湖一街,Huanhu 1st St.
環湖一路,Huanhu 1st Rd.
環湖二路,Huanhu 2nd Rd.
環湖三街,Huanhu 3rd St.
環湖西路,Huanhu W. Rd.
環湖東路,Huanhu E. Rd.
環湖路,Huanhu Rd.
環園西街,Huanyuan W. St.
環園西路１段,"Sec. 1, Huanyuan W. Rd."
環園西路２段,"Sec. 2, Huanyuan W. Rd."
環園東路１段,"Sec. 1, Huanyuan E. Rd."
環園東路２段,"Sec. 2, Huanyuan E. Rd."
環溪四街,Huanxi 4th St.
環溪路,Huanxi Rd.
環漢路１段,"Sec. 1, Huanhan Rd."
環漢路５段,"Sec. 5, Huanhan Rd."
環福街,Huanfu St.
環潭北路,Huantan N. Rd.
環潭南路,Huantan S. Rd.
環潭路,Huantan Rd.
環澤街,Huanze St.
環館一路,Huanguan 1st Rd.
環館二路,Huanguan 2nd Rd.
環館三路,Huanguan 3rd Rd.
環館五路,Huanguan 5th Rd.
環館北路,Huanguan N. Rd.
環館路,Huanguan Rd.
環龍二巷,Huanlong 2nd Ln.
環龍四巷,Huanlong 4th Ln.
環龍五巷,Huanlong 5th Ln.
環龍路,Huanlong Rd.
環鎮東路２段,"Sec. 2, Huanzhen E. Rd."
盪鈀山,Dangba Mt.
磺清路,Huangqing Rd.
磺港路,Huanggang Rd.
磺溪,Huangxi
磺溪街,Huangxi St.
磺溪頭,Huangxitou
磯崎,Jiqi
礁坑子,Jiaokengzi
礁溪街,Jiaoxi St.
礁溪路１段,"Sec. 1, Jiaoxi Rd."
礁溪路２段,"Sec. 2, Jiaoxi Rd."
礁溪路３段,"Sec. 3, Jiaoxi Rd."
礁溪路４段,"Sec. 4, Jiaoxi Rd."
礁溪路５段,"Sec. 5, Jiaoxi Rd."
礁溪路６段,"Sec. 6, Jiaoxi Rd."
礁溪路７段,"Sec. 7, Jiaoxi Rd."
糞箕湖,Fenjihu
糞箕窩,Fenjiwo
總安街１段,"Sec. 1, Zong’an St."
總安街２段,"Sec. 2, Zong’an St."
總爺,Zongye
總爺庄,Zongyezhuang
繁昌一街,Fanchang 1st St.
繁昌二街,Fanchang 2nd St.
繁華路,Fanhua Rd.
繁隆街,Fanlong St.
繁榮街,Fanrong St.
聯大,Lianda
聯和街,Lianhe St.
聯和新村,Lianhexincun
聯怡路,Lianyi Rd.
聯明一街,Lianming 1st St.
聯明二街,Lianming 2nd St.
聯明街,Lianming St.
聯美路,Lianmei Rd.
聯通街,Liantong St.
聯發街,Lianfa St.
聯華街,Lianhua St.
聯福街,Lianfu St.
聯福街聯福巷,"Lianfu Ln., Lianfu St."
聯福新村,Lianfuxincun
聯興一街,Lianxing 1st St.
聯興二街,Lianxing 2nd St.
聯興三街,Lianxing 3rd St.
聯興路,Lianxing Rd.
聯豐路,Lianfeng Rd.
膽曼,Danman
臨水南路,Linshui S. Rd.
臨安路１段,"Sec. 1, Lin’an Rd."
臨安路２段,"Sec. 2, Lin’an Rd."
臨江街,Linjiang St.
臨江路,Linjiang Rd.
臨沂街,Linyi St.
臨海一路,Linhai 1st Rd.
臨海二路,Linhai 2nd Rd.
臨海三路,Linhai 3rd Rd.
臨海別墅,Linhaibieshu
臨海街,Linhai St.
臨海新村,Linhaixincun
臨海新路,Linhaixin Rd.
臨海路,Linhai Rd.
臨海路１段,"Sec. 1, Linhai Rd."
臨海路２段,"Sec. 2, Linhai Rd."
臨海路３段,"Sec. 3, Linhai Rd."
臨海路民有巷,"Minyou Ln., Linhai Rd."
臨海路海關巷,"Haiguan Ln., Linhai Rd."
臨港東路１段,"Sec. 1, Lingang E. Rd."
臨港東路２段,"Sec. 2, Lingang E. Rd."
臨港路,Lingang Rd.
臨港路１段,"Sec. 1, Lingang Rd."
臨港路２段,"Sec. 2, Lingang Rd."
臨港路３段,"Sec. 3, Lingang Rd."
臨港路４段,"Sec. 4, Lingang Rd."
臨港路５段,"Sec. 5, Lingang Rd."
臨港路６段,"Sec. 6, Lingang Rd."
臨港路７段,"Sec. 7, Lingang Rd."
臨溪路,Linxi Rd.
臨潼街,Lintong St.
舉人街,Juren St.
薑麻園,Jiangmayuan
薯園,Shuyuan
薯榔寮,Shulangliao
螺陽路,Luoyang Rd.
襄陽路,Xiangyang Rd.
謙仁巷,Qianren Ln.
謙正巷,Qianzheng Ln.
謙明巷,Qianming Ln.
講美,Jiangmei
謝厝,Xiecuo
謝厝巷,Xiecuo Ln.
謝厝寮,Xiecuoliao
謝榜寮,Xiebangliao
賽嘉巷,Saijia Ln.
鍋仔崠,Guozaidong
鍾山新村,Zhongshanxincun
闊瀨,Kuolai
霞海東一街,Xiahai E. 1st St.
霞海東二街,Xiahai E. 2nd St.
霞海南一街,Xiahai S. 1st St.
霞雲,Xiayun
霞雲坪,Xiayunping
鴻昌街,Hongchang St.
鴻門巷,Hongmen Ln.
鴻福,Hongfu
鴻撫街,Hongfu St.
鴿溪寮,Gexiliao
齋明街,Zhaiming St.
擴建一路,Kuojian 1st Rd.
擴建路,Kuojian Rd.
擺接堡路,Baijiebao Rd.
擺塘巷,Baitang Ln.
擺塘橫巷,Baitang Side Ln.
擺厘路,Baili Rd.
擷雲莊,Jieyunzhuang
檳榔宅,Binlangzhai
檳榔路,Binlang Rd.
檳榔樹角,Binlangshujiao
歸仁一路,Guiren 1st Rd.
歸仁二路,Guiren 2nd Rd.
歸仁三路,Guiren 3rd Rd.
歸仁五路,Guiren 5th Rd.
歸仁六路,Guiren 6th Rd.
歸仁七路,Guiren 7th Rd.
歸仁八路,Guiren 8th Rd.
歸仁九路,Guiren 9th Rd.
歸仁十路,Guiren 10th Rd.
歸仁十一路,Guiren 11th Rd.
歸仁十二路,Guiren 12th Rd.
歸仁十三路,Guiren 13th Rd.
歸仁十四路,Guiren 14th Rd.
歸仁十五路,Guiren 15th Rd.
歸仁十六路,Guiren 16th Rd.
歸仁十八路,Guiren 18th Rd.
歸仁大道,Guiren Blvd.
歸仁南路,Guiren S. Rd.
歸仁路,Guiren Rd.
歸田,Guitian
歸國一橫巷,Guiguo 1st Side Ln.
歸國巷,Guiguo Ln.
歸智巷,Guizhi Ln.
歸綏街,Guisui St.
歸義巷,Guiyi Ln.
歸禮巷,Guili Ln.
瀋陽北路,Shenyang N. Rd.
瀋陽街,Shenyang St.
瀋陽路１段,"Sec. 1, Shenyang Rd."
瀋陽路２段,"Sec. 2, Shenyang Rd."
瀋陽路３段,"Sec. 3, Shenyang Rd."
瀑布,Pubu
禮仁路,Liren Rd.
禮文街,Liwen St.
禮明路,Liming Rd.
禮門街,Limen St.
禮智路,Lizhi Rd.
禮義巷,Liyi Ln.
禮義路,Liyi Rd.
禮運路,Liyun Rd.
禮賢路,Lixian Rd.
禮蘭新村,Lilanxincun
禮蘭路,Lilan Rd.
簡仔舍街,Jianzaishe St.
織襪一路,Zhiwa 1st Rd.
織襪二路,Zhiwa 2nd Rd.
織襪三路,Zhiwa 3rd Rd.
舊二路,Jiu 2nd Rd.
舊下莊,Jiuxiazhuang
舊公園,Jiugongyuan
舊公路,Jiugong Rd.
舊圳路,Jiuzun Rd.
舊村一街,Jiucun 1st St.
舊村二街,Jiucun 2nd St.
舊村三街,Jiucun 3rd St.
舊村四街,Jiucun 4th St.
舊村五街,Jiucun 5th St.
舊村六街,Jiucun 6th St.
舊車站,Jiuchezhan
舊車路,Jiuche Rd.
舊車路北一巷,"N. 1st Ln., Jiuche Rd."
舊車路南一巷,"S. 1st Ln., Jiuche Rd."
舊車路福壽巷,"Fushou Ln., Jiuche Rd."
舊宗路１段,"Sec. 1, Jiuzong Rd."
舊宗路２段,"Sec. 2, Jiuzong Rd."
舊店子,Jiudianzi
舊店路,Jiudian Rd.
舊社,Jiushe
舊社巷,Jiushe Ln.
舊社路,Jiushe Rd.
舊南港,Jiunangang
舊城北路,Jiucheng N. Rd.
舊城西路,Jiucheng W. Rd.
舊城西路光大巷,"Guangda Ln., Jiucheng W. Rd."
舊城東路,Jiucheng E. Rd.
舊城南路,Jiucheng S. Rd.
舊城南路縣府一巷,"Xianfu 1st Ln., Jiucheng S. Rd."
舊城南路縣府二巷,"Xianfu 2nd Ln., Jiucheng S. Rd."
舊城南路縣府四巷,"Xianfu 4th Ln., Jiucheng S. Rd."
舊城巷,Jiucheng Ln.
舊城路,Jiucheng Rd.
舊泉州,Jiuquanzhou
舊眉村陸軍路,"Lujun Rd., Jiumei Vil."
舊香蘭,Jiuxianglan
舊厝子,Jiucuozi
舊莊街１段,"Sec. 1, Jiuzhuang St."
舊莊街２段,"Sec. 2, Jiuzhuang St."
舊部,Jiubu
舊港,Jiugang
舊港巷,Jiugang Ln.
舊港路,Jiugang Rd.
舊港路北一巷,"N. 1st Ln., Jiugang Rd."
舊港路北二巷,"N. 2nd Ln., Jiugang Rd."
舊港路北三巷,"N. 3rd Ln., Jiugang Rd."
舊港路西一巷,"W. 1st Ln., Jiugang Rd."
舊港路西二巷,"W. 2nd Ln., Jiugang Rd."
舊港路東一巷,"E. 1st Ln., Jiugang Rd."
舊港路東二巷,"E. 2nd Ln., Jiugang Rd."
舊港路東巷,"E. Ln., Jiugang Rd."
舊港路東段,"Sec. E., Jiugang Rd."
舊港路南一巷,"S. 1st Ln., Jiugang Rd."
舊港路南二巷,"S. 2nd Ln., Jiugang Rd."
舊港路港邊巷,"Gangbian Ln., Jiugang Rd."
舊港橫路,Jiugangheng Rd.
舊港橫路１段,"Sec. 1, Jiugangheng Rd."
舊港橫路北二巷,"N. 2nd Ln., Jiugangheng Rd."
舊港橫路北三巷,"N. 3rd Ln., Jiugangheng Rd."
舊港橫路北五巷,"N. 5th Ln., Jiugangheng Rd."
舊港橫路南二巷,"S. 2nd Ln., Jiugangheng Rd."
舊港橫路魚塭,"Yuwen, Jiugangheng Rd."
舊街,Jiu St.
舊街一巷,Jiujie 1st Ln.
舊街一路,Jiujie 1st Rd.
舊街二巷,Jiujie 2nd Ln.
舊街二路,Jiujie 2nd Rd.
舊街巷,Jiujie Ln.
舊街路,Jiujie Rd.
舊街路文化新屯,"Wenhuaxincun, Jiujie Rd."
舊街路福園別墅,"Fuyuanbieshu, Jiujie Rd."
舊溪路１段,"Sec. 1, Jiuxi Rd."
舊溪路２段,"Sec. 2, Jiuxi Rd."
舊寮路,Jiuliao Rd.
舊廟路,Jiumiao Rd.
舊潭,Jiutan
舊糖廠,Jiutangchang
舊營,Jiuying
舊庄,Jiuzhuang
舊庄巷,Jiuzhuang Ln.
舊庄路,Jiuzhuang Rd.
舊埕,Jiucheng
藍田街,Lantian St.
藍田路,Lantian Rd.
藍昌路,Lanchang Rd.
薰化一巷,Xunhua 1st Ln.
蟠桃,Pantao
蟠桃新村,Pantaoxincun
覆金,Fujin
覆金路,Fujin Rd.
覆鼎金,Fudingjin
豐山村中山路,"Zhongshan Rd., Fengshan Vil."
豐山村仁愛街,"Ren’ai St., Fengshan Vil."
豐山村和平街,"Heping St., Fengshan Vil."
豐山村忠孝街,"Zhongxiao St., Fengshan Vil."
豐山街,Fengshan St.
豐工一路,Fenggong 1st Rd.
豐工二路,Fenggong 2nd Rd.
豐工三路,Fenggong 3rd Rd.
豐工中路,Fenggong Central Rd.
豐工東路,Fenggong E. Rd.
豐工南路,Fenggong S. Rd.
豐工路,Fenggong Rd.
豐文路,Fengwen Rd.
豐功路,Fenggong Rd.
豐北街,Fengbei St.
豐平路,Fengping Rd.
豐正路,Fengzheng Rd.
豐正路１段,"Sec. 1, Fengzheng Rd."
豐正路２段,"Sec. 2, Fengzheng Rd."
豐正路工業巷,"Gongye Ln., Fengzheng Rd."
豐田,Fengtian
豐田一路,Fengtian 1st Rd.
豐田二路,Fengtian 2nd Rd.
豐田三路,Fengtian 3rd Rd.
豐田五街,Fengtian 5th St.
豐田六路,Fengtian 6th Rd.
豐田里太平路,"Taiping Rd., Fengtian Vil."
豐田巷,Fengtian Ln.
豐田街,Fengtian St.
豐田路,Fengtian Rd.
豐吉路,Fengji Rd.
豐安街,Feng’an St.
豐安路,Feng’an Rd.
